https://www.transport.act.gov.au/__data/assets/file/0006/1249692/AllStops.csv
#
#
#
Stop	Description	Latitude	Longitude	Street
2610	Athllon Dr opp Southlands Shops	-35.36334312	149.092283	ATHLLON DR
2613	Gladstone St before Cessnock St	-35.32319965	149.1728999	GLADSTONE ST
2614	83 - 85 Gladstone St	-35.3220061	149.1793576	GLADSTONE ST
2615	127 Gladstone St	-35.32401475	149.1823957	GLADSTONE ST
2616	Gladstone St opp Albany St	-35.32537398	149.1836543	GLADSTONE ST
2617	Bateson Rd after Canberra Hospital	-35.34859867	149.1028055	BATESON RD
2623	Newcastle St after Wollongong St	-35.32887551	149.178299	NEWCASTLE ST
2634	Canberra Av after Monaro Hwy	-35.33046082	149.16115	BUS LANE
2642	Gawler Cr before Deakin Shops	-35.31427128	149.1088309	GAWLER CR
2643	Gawler Cr after Deakin Shops	-35.31421469	149.1087679	GAWLER CR
2646	Namatjira Dr after Hindmarsh Dr	-35.34711174	149.0571652	NAMATJIRA DR
2647	Namatjira Dr before Badimara St	-35.35340439	149.0525954	NAMATJIRA DR
2650	Athllon Dr after Shea St	-35.35127712	149.0906952	ATHLLON DR
2651	Athllon Dr opp Shea St	-35.35236776	149.0912779	ATHLLON DR
2652	Athllon Dr after Beasley St	-35.37128302	149.0926707	ATHLLON DR
2653	Athllon Dr 2nd after Beasley St	-35.3757748	149.0932105	ATHLLON DR
2654	Beasley St after Marshall St	-35.37115142	149.1007194	BEASLEY ST
2655	Beasley St opp Wilkins St	-35.37172363	149.0987102	BEASLEY ST
2669	Streeton Dr opp Chapman PS	-35.35490875	149.0425031	STREETON DR
2670	Chapman PS Streeton Dr	-35.35476546	149.0421804	STREETON DR
2671	Ainsworth St opp Hobury St	-35.35203465	149.0940103	AINSWORTH ST
2672	Ainsworth St before Horbury St	-35.35202137	149.0937888	AINSWORTH ST
2673	Athllon Dr at Beasley St	-35.37259149	149.0930633	ATHLLON DR
2674	Beasley St after Torrens Pl	-35.37292446	149.0888267	BEASLEY ST
2675	142 Beasley St	-35.37298289	149.0889405	BEASLEY ST
2676	Dixon Dr before Blackwood Tce	-35.33365605	149.039023	DIXON DR
2677	Dixon Dr before 2nd Burrinjuck Cr	-35.33359045	149.0389037	DIXON DR
2678	Canberra Av before Mildura St	-35.32670319	149.1555114	CANBERRA AV
2679	Westfield Woden Corinna St	-35.34591619	149.0842117	CORINNA ST
2680	Canberra Av after Nyrang St	-35.32569496	149.153409	CANBERRA AV
2687	Athllon Dr opp Parramatta St	-35.35542884	149.0916122	ATHLLON DR
2688	Athllon Dr after Parramatta St	-35.35403761	149.0913133	ATHLLON DR
2689	Wanniassa High School Grounds	-35.39474378	149.0858181	WANNIASSA HIGH SCHOOL GROUNDS
2690	Namatjira Dr before Macnally St	-35.33934861	149.0546943	NAMATJIRA DR
2695	Tom Roberts Av opp 1st Templestowe Av	-35.46568179	149.1059273	TOM ROBERTS AV
2696	Tharwa Dr after Drakeford Dr	-35.44525966	149.093656	THARWA DR
2697	Tharwa Dr before Drakeford Dr	-35.4451989	149.0932612	THARWA DR
2698	Tharwa Dr before Box Hill Av	-35.45462578	149.0913305	THARWA DR
2699	Tharwa Dr after Box Hill Av	-35.45462462	149.0909813	THARWA DR
2703	Woden Interchange Plt 1	-35.34459555	149.0866633	BUS LANE
2705	Woden Interchange Plt 3	-35.34448058	149.08737	BUS LANE
2706	Woden Interchange Plt 4	-35.34444415	149.0876001	BUS LANE
2709	Woden Interchange Plt 6	-35.34424036	149.0878116	BUS LANE
2710	Woden Interchange Plt 7	-35.34390954	149.087758	BUS LANE
2712	Woden Interchange Plt 8	-35.34400206	149.0876206	BUS INTG
2716	Woden Interchange Plt 11	-35.34444562	149.0869411	BUS INTG
2717	Jim Pike Av after 1st Charlton Cr	-35.4608168	149.0782015	JIM PIKE AV
2718	Soward Way after Athllon Dr	-35.4194742	149.0663715	SOWARD WAY
2730	Kent St after Macartney Cr	-35.31701304	149.0982982	KENT ST
2731	Kent St after Strickland Cr	-35.31714905	149.0982005	KENT ST
2803	Steve Irwin Av before Ulysses Cct	-35.32437213	149.0362565	STEVE IRWIN AV
2804	Woden Interchange Plt 2	-35.34453912	149.0869556	BUS LANE
2805	Steve Irwin Av before David Fleay St	-35.32455795	149.0363569	STEVE IRWIN AV
2806	Steve Irwin Av after John Gorton Dr	-35.32040309	149.0366673	STEVE IRWIN AV
2809	John Gorton Dr after Steve Irwin Av	-35.31941614	149.0366558	JOHN GORTON DR
2810	John Gorton Dr after Fred Daly Av	-35.32001604	149.0379159	JOHN GORTON DR
2811	John Gorton Dr after Cotter Rd	-35.32477921	149.0433837	JOHN GORTON DR
2812	John Gorton Dr after Harold White Av	-35.32538566	149.0446255	COTTER RD
2814	Woden Interchange Plt 9	-35.34435006	149.0875152	BUS INTG
2815	Woden Interchange Plt 10	-35.34439856	149.0872645	BUS INTG
2818	Bielski St after Heseltine St SSO	-35.30655614	149.0263035	BIELSKI ST
2820	Streeton Drive after Unwin Pl	-35.32918007	149.0539297	STREETON DR
2821	Streeton Dr after Dixon Dr	-35.32795	149.05353	STREETON DR
2822	Cotter Rd After Streeton Dr	-35.32697077	149.0526395	COTTER RD
2824	Fyshwick Park & Ride Iron Knob St	-35.33868825	149.1827848	IRON KNOB ST
2825	Canberra Av after Whyalla St	-35.33595051	149.1727793	CANBERRA AV
2826	Wyndham Av after Bielski St	-35.30535088	149.0269992	WYNDHAM AV
2827	Wyndham Av before Bielski St	-35.3055187	149.0267758	WYNDHAM AV
2828	Kondelea Way before Ada Norris Av	-35.3029576	149.020901	MCMICHAEL TCE
2829	Kondelea Way at Ada Norris Av	-35.30349039	149.0207933	KONDELEA WAY
2830	Denman Prospect Shops Felstead Vista	-35.29932799	149.0218796	FELSTEAD VSTA
2831	Felstead Vista opp Denman Prospect Shops	-35.2991407	149.0219739	FELSTEAD VSTA
2832	Holborow Av before Eureka Way	-35.29912498	149.026735	HOLBOROW AV
2833	Holborow Av after Eureka Way	-35.29889375	149.0268151	HOLBOROW AV
2834	Holborow Av after Greenwood St	-35.29893697	149.0299886	HOLBOROW AV
2835	Holborow Av after Greenwood St	-35.29861108	149.0319467	HOLBOROW AV
2836	John Gorton Dr after Wyndham Av	-35.30436017	149.0319904	JOHN GORTON DR
2837	John Gorton Dr before Wyndham Av	-35.30465013	149.0321703	JOHN GORTON DR
2839	John Gorton Dr after Holborow Av	-35.29965638	149.0342249	JOHN GORTON DR
2840	Annabelle View before Harold White Av	-35.32030101	149.0469789	ANNABELLE VIEW
2841	Annabelle View after Harold White Av	-35.32031059	149.0467855	ANNABELLE VIEW
2842	Harold White Av after Woodberry Av	-35.32445947	149.0448057	HAROLD WHITE AV
2843	Harold White Av before Woodberry Av	-35.32431646	149.0447328	HAROLD WHITE AV
2845	John Gorton Dr after Opperman Av	-35.31199791	149.0319263	JOHN GORTON DR
2846	John Gorton Dr opp Opperman Av	-35.31296668	149.0326445	JOHN GORTON DR
2908	Woden Interchange Plt 5	-35.34453089	149.0879016	BUS LANE
2916	Woden Interchange Arrivals	-35.34453089	149.0872756	BUS LANE
2919	Ipswich St before Canberra Av	-35.32909356	149.1627966	IPSWICH ST
2925	Forrest PS National Cct	-35.31540067	149.126899	NATIONAL CCT
2926	National Cct opp Forrest PS	-35.31557101	149.1265427	NATIONAL CCT
2941	Newcastle St after Gladstone St	-35.32499414	149.1723177	NEWCASTLE ST
2943	Canberra Av after Geelong St	-35.33347133	149.1676162	CANBERRA AV
2944	Canberra Av before Faulding St	-35.33500546	149.1699872	CANBERRA AV
2948	Canberra Outlet Centre Iron Knob St	-35.33629126	149.1795872	IRON KNOB ST
3	Athllon Dr opp Learmonth Dr	-35.40279284	149.0650152	ATHLLON DR
3000	City Interchange Plt 9 Arrivals	-35.27883871	149.1306485	EAST ROW
3003	London Cct opp Legislative Assembly	-35.28156152	149.1318588	LONDON CCT
3004	London Cct after Akuna St	-35.28228044	149.1320899	LONDON CCT
3005	National Convention Centre Constitution Av	-35.28510023	149.134189	CONSTITUTION AV
3006	CIT Reid Constitution Av	-35.2867703	149.1370695	CONSTITUTION AV
3007	Constitution Av opp Anzac Park West	-35.28821216	149.1394438	CONSTITUTION AV
3008	Constitution Av opp Anzac Park East	-35.29028028	149.142899	CONSTITUTION AV
3009	Constitution Av after Creswell St	-35.29183401	149.1455162	CONSTITUTION AV
3011	Russell Offices Russell Dr	-35.29729826	149.1502667	RUSSELL DR
3012	Edmund Barton Building Kings Av	-35.30428554	149.1348128	KINGS AV
3017	John James Hospital Denison St	-35.31896196	149.0940941	DENISON ST
3018	Denison St after Napier Cl	-35.32186026	149.0940424	DENISON ST
3019	The Woden School Denison St	-35.32603042	149.0919686	DENISON ST
3020	Denison St opp The Woden School	-35.32590878	149.091861	DENISON ST
3021	Denison St after King St	-35.32218573	149.0938847	DENISON ST
3022	Royal Australian Mint Denison St	-35.31882615	149.0939718	DENISON ST
3025	Carruthers St opp Groom St	-35.32675291	149.0899665	CARRUTHERS ST
3028	Kings Av before King Edward Tce	-35.30345616	149.1361403	KINGS AV
3029	Russell Dr opp Russell Offices	-35.29712985	149.1499027	RUSSELL DR
